"","tcga.dataset","B-cells","DC","Macrophages","Exhausted CD8","T-cells","CD8 T cells","Neutrophils","Cytotoxic cells","Treg","NK CD56dim cells","Mast cells","NK cells","CD45","Th1 cells"
"TCGA.OR.A5L9.01A.11R.A29S.07","ACC",1.65480801833939,5.29081260154559,7.64555505605498,4.8458397261152,4.85236030002533,6.07792447379147,2.54300209942822,6.69629749931058,5.69805174728359,1.77746016324888,7.05665599209734,3.12339437038183,7.60398530515844,3.55492032649777
"TCGA.PA.A5YG.01A.11R.A29S.07","ACC",1.88475977289554,3.98773798998393,9.49747502183468,5.69826748079561,5.76631108294245,6.91030382053358,3.45701084257049,5.86499728381081,3.09039616590297,1.67193726148832,10.1846942929436,3.55881611529624,9.60563877984008,4.41563023499188
"TCGA.P6.A5OG.01A.22R.A29S.07","ACC",2.0984381199145,7.70185278388878,10.0070287607501,6.54754044329664,6.21177671050022,7.74835628976896,7.48469781128201,7.92268176725869,3.50255974439609,2.58269410252277,2.92870108179932,2.28934914392306,9.17477516511462,6.17168721868987
"TCGA.BT.A0S7.01A.11R.A10U.07","BLCA",3.56228874689044,5.44064689239465,7.30472679742372,4.3464357264284,4.7337604530898,7.28797982295498,4.13781568889899,4.47175679192949,4.09893322260096,1.57613798788887,4.54894225202697,2.0381989563702,7.69204144767281,1.71659588199414
"TCGA.BT.A0YX.01A.11R.A10U.07","BLCA",3.4383061775434,5.4525944826493,9.05056059814155,5.60947085239969,6.45326736408046,7.70881478696114,5.97326121101244,7.02322800992793,6.62934059004566,1.98208883297067,7.63070137599674,2.14237887534192,9.70182799075376,4.19429984655167
"TCGA.C4.A0F0.01A.12R.A10U.07","BLCA",1.28399904631947,7.12491910653035,7.9681915346124,4.38212617369764,4.99330298257375,6.53431156341627,4.12997043550814,5.47856903943391,4.95275289351721,1.4281992807616,6.44500009209812,1.73299818163676,8.48392337089899,4.55845132716222
"TCGA.C4.A0F6.01A.11R.A10U.07","BLCA",1.95814078080296,4.58716164395453,7.37029469534092,5.36606291188071,4.78219784332114,5.32869861993774,3.40007508798674,5.11261014814958,5.04497108198997,1.43052092091774,5.63775038839514,1.69876493933906,7.73337874690244,1.97881797806019
"TCGA.CU.A0YN.01A.21R.A10U.07","BLCA",4.27114358290657,6.84860398655064,8.34357490865485,5.25896699064879,6.5068104837584,6.74638944671368,6.32901686010789,5.75352338998188,7.65176998881962,2.21570372613904,6.21683791370909,1.6304150190613,9.81899958798156,4.04993565293672
"TCGA.CU.A0YN.11A.11R.A10U.07","BLCA",3.62622757807351,8.12841384115002,8.84879709919931,4.43433746651237,2.94431618303109,3.35957119810496,2.7577078496175,2.77616084393838,2.78904059917021,1.1592054498891,8.49314680487825,0.261808334520311,8.06611233799101,1.66484688150739
"TCGA.CU.A0YR.01A.12R.A10U.07","BLCA",2.96104799170551,7.02330158874593,9.66221613821817,5.54063792292698,5.86344067671743,5.84056886065381,5.2910704646782,6.60774428402935,7.00268789535597,2.14178683288248,4.72650590993564,3.07058890008094,10.1318725190008,4.03575585751133
